system:index,CCA,Date,Elevation,SCA,.geo
Andes_MCDS4S5_Yearly_Monthly_2000_05_3_Andes_MCDS4S5_Yearly_Monthly_2000_05_3,15.92,2000-05-01,3700.0,7.40,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_05_4_Andes_MCDS4S5_Yearly_Monthly_2000_05_4,16.03,2000-05-01,3800.0,9.23,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_05_5_Andes_MCDS4S5_Yearly_Monthly_2000_05_5,16.33,2000-05-01,3900.0,12.48,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_05_6_Andes_MCDS4S5_Yearly_Monthly_2000_05_6,15.57,2000-05-01,4000.0,13.67,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_05_7_Andes_MCDS4S5_Yearly_Monthly_2000_05_7,10.63,2000-05-01,4100.0,7.10,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_05_8_Andes_MCDS4S5_Yearly_Monthly_2000_05_8,5.34,2000-05-01,4200.0,5.12,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_05_9_Andes_MCDS4S5_Yearly_Monthly_2000_05_9,4.20,2000-05-01,4300.0,4.07,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_05_10_Andes_MCDS4S5_Yearly_Monthly_2000_05_10,5.31,2000-05-01,4400.0,4.69,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_05_11_Andes_MCDS4S5_Yearly_Monthly_2000_05_11,6.02,2000-05-01,4500.0,4.52,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_05_12_Andes_MCDS4S5_Yearly_Monthly_2000_05_12,7.19,2000-05-01,4600.0,6.35,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_05_13_Andes_MCDS4S5_Yearly_Monthly_2000_05_13,11.22,2000-05-01,4700.0,8.82,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_05_14_Andes_MCDS4S5_Yearly_Monthly_2000_05_14,13.00,2000-05-01,4800.0,13.03,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_05_15_Andes_MCDS4S5_Yearly_Monthly_2000_05_15,16.32,2000-05-01,4900.0,13.04,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_05_16_Andes_MCDS4S5_Yearly_Monthly_2000_05_16,15.25,2000-05-01,5000.0,12.29,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_05_17_Andes_MCDS4S5_Yearly_Monthly_2000_05_17,16.96,2000-05-01,5100.0,11.07,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_05_18_Andes_MCDS4S5_Yearly_Monthly_2000_05_18,17.11,2000-05-01,5200.0,13.14,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_05_19_Andes_MCDS4S5_Yearly_Monthly_2000_05_19,18.59,2000-05-01,5300.0,13.71,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_05_20_Andes_MCDS4S5_Yearly_Monthly_2000_05_20,20.60,2000-05-01,5400.0,17.52,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_05_21_Andes_MCDS4S5_Yearly_Monthly_2000_05_21,21.62,2000-05-01,5500.0,26.90,"{""type"":""MultiPoint"",""coordinates"":[]}"
